Title,Author,Genre,Height,Publisher,ID,PublishDate,Description
Fundamentals of Wavelets,"Goswami, Jaideva",signal_processing,228,Wiley,1,2022,
Data Smart,"Foreman, John",data_science,235,Wiley,2,2014,
God Created the Integers,"Hawking, Stephen",mathematics,197,Penguin,3,2013,
Superfreakonomics,"Dubner, Stephen",economics,179,HarperCollins,4,2022,
Orientalism,"Said, Edward",history,197,Penguin,5,2018,
"Nature of Statistical Learning Theory, The","Vapnik, Vladimir",data_science,230,Springer,6,2013,
Integration of the Indian States,"Menon, V P",history,217,Orient Blackswan,7,2018,
"Drunkard's Walk, The","Mlodinow, Leonard",science,197,Penguin,8,2015,
Image Processing & Mathematical Morphology,"Shih, Frank",signal_processing,241,CRC,9,2020,
How to Think Like Sherlock Holmes,"Konnikova, Maria",psychology,240,Penguin,10,2012,
Data Scientists at Work,Sebastian Gutierrez,data_science,230,Apress,11,2021,
Slaughterhouse Five,"Vonnegut, Kurt",fiction,198,Random House,12,2021,
Birth of a Theorem,"Villani, Cedric",mathematics,234,Bodley Head,13,2010,
Structure & Interpretation of Computer Programs,"Sussman, Gerald",computer_science,240,MIT Press,14,2013,
"Age of Wrath, The","Eraly, Abraham",history,238,Penguin,15,2018,
"Trial, The","Kafka, Frank",fiction,198,Random House,16,2019,
Statistical Decision Theory',"Pratt, John",data_science,236,MIT Press,17,2012,
Data Mining Handbook,"Nisbet, Robert",data_science,242,Apress,18,2013,
"New Machiavelli, The","Wells, H. G.",fiction,180,Penguin,19,2022,
Physics & Philosophy,"Heisenberg, Werner",science,197,Penguin,20,2021,
Making Software,"Oram, Andy",computer_science,232,O'Reilly,21,2019,
"Analysis, Vol I","Tao, Terence",mathematics,248,HBA,22,2020,
Machine Learning for Hackers,"Conway, Drew",data_science,233,O'Reilly,23,2022,
"Signal and the Noise, The","Silver, Nate",data_science,233,Penguin,24,2014,
Python for Data Analysis,"McKinney, Wes",data_science,233,O'Reilly,25,2014,
Introduction to Algorithms,"Cormen, Thomas",computer_science,234,MIT Press,26,2010,
"Beautiful and the Damned, The","Deb, Siddhartha",nonfiction,198,Penguin,27,2020,
"Outsider, The","Camus, Albert",fiction,198,Penguin,28,2017,
"Complete Sherlock Holmes, The - Vol I","Doyle, Arthur Conan",fiction,176,Random House,29,2020,
"Complete Sherlock Holmes, The - Vol II","Doyle, Arthur Conan",fiction,176,Random House,30,2010,
"Wealth of Nations, The","Smith, Adam",economics,175,Random House,31,2017,
"Pillars of the Earth, The","Follett, Ken",fiction,176,Random House,32,2011,
Mein Kampf,"Hitler, Adolf",nonfiction,212,Rupa,33,2019,
"Tao of Physics, The","Capra, Fritjof",science,179,Penguin,34,2015,
Surely You're Joking Mr Feynman,"Feynman, Richard",science,198,Random House,35,2020,
"Farewell to Arms, A","Hemingway, Ernest",fiction,179,Rupa,36,2011,
"Veteran, The","Forsyth, Frederick",fiction,177,Transworld,37,2011,
False Impressions,"Archer, Jeffery",fiction,177,Pan,38,2012,
"Last Lecture, The","Pausch, Randy",nonfiction,197,Hyperion,39,2011,
Return of the Primitive,"Rand, Ayn",philosophy,202,Penguin,40,2017,
Jurassic Park,"Crichton, Michael",fiction,174,Random House,41,2019,
"Russian Journal, A","Steinbeck, John",nonfiction,196,Penguin,42,2021,
Tales of Mystery and Imagination,"Poe, Edgar Allen",fiction,172,HarperCollins,43,2015,
Freakonomics,"Dubner, Stephen",economics,197,Penguin,44,2013,
"Hidden Connections, The","Capra, Fritjof",science,197,HarperCollins,45,2022,
"Story of Philosophy, The","Durant, Will",philosophy,170,Pocket,46,2022,
Asami Asami,"Deshpande, P L",fiction,205,Mauj,47,2021,
Journal of a Novel,"Steinbeck, John",fiction,196,Penguin,48,2015,
Once There Was a War,"Steinbeck, John",nonfiction,196,Penguin,49,2015,
"Moon is Down, The","Steinbeck, John",fiction,196,Penguin,50,2016,
"Brethren, The","Grisham, John",fiction,174,Random House,51,2014,
In a Free State,"Naipaul, V. S.",fiction,196,Rupa,52,2015,
Catch 22,"Heller, Joseph",fiction,178,Random House,53,2021,
"Complete Mastermind, The",BBC,nonfiction,178,BBC,54,2011,
Dylan on Dylan,"Dylan, Bob",nonfiction,197,Random House,55,2015,
Soft Computing & Intelligent Systems,"Gupta, Madan",data_science,242,Elsevier,56,2014,
Textbook of Economic Theory,"Stonier, Alfred",economics,242,Pearson,57,2010,
Econometric Analysis,"Greene, W. H.",economics,242,Pearson,58,2018,
Learning OpenCV,"Bradsky, Gary",data_science,232,O'Reilly,59,2015,
Data Structures Using C & C++,"Tanenbaum, Andrew",computer_science,235,Prentice Hall,60,2017,
"Computer Vision, A Modern Approach","Forsyth, David",data_science,255,Pearson,61,2021,
Principles of Communication Systems,"Taub, Schilling",computer_science,240,TMH,62,2011,
Let Us C,"Kanetkar, Yashwant",computer_science,213,Prentice Hall,63,2019,
"Amulet of Samarkand, The","Stroud, Jonathan",fiction,179,Random House,64,2016,
